Durability	Aircraft	
1			Vought F4U Corsair(Parking)
2			Vought F4U Corsair(Rolling)
3			Vought F4U Corsair(Flying)
4			Focke-Wulf Fw 190(Parking)
5			Focke-Wulf Fw 190(Rolling)
6			Focke-Wulf Fw 190(Flying)
7			Mitsubishi A6M Zero(Parking)
8			Mitsubishi A6M Zero(Rolling)
9			Mitsubishi A6M Zero(Flying)
10			Yakovlev Yak-9(Parking)
11			Yakovlev Yak-9(Rolling)
12			Yakovlev Yak-9(Flying)
13			Macchi C.202(Parking)
14			Macchi C.202(Rolling)
15			Macchi C.202(Flying)
16			Supermarine Spitfire(Parking)
17			Supermarine Spitfire(Rolling)
18			Supermarine Spitfire(Flying)
19			SAAB 21(Parking)
20			SAAB 21(Rolling)
21			SAAB 21(Flying)
22			Douglas SBD Dauntless(Parking) 
23			Douglas SBD Dauntless(Rolling) 
24			Douglas SBD Dauntless(Flying) 
25			Douglas SBD Dauntless(Right wing) 
26			1600lb bomb(for SBD)
27			Yokosuka D4Y Suisei(Parking) 
28			Yokosuka D4Y Suisei(Rolling) 
29			Yokosuka D4Y Suisei(Flying) 
30			Junkers Ju 87 Stuka(Parking) 
31			Junkers Ju 87 Stuka(Flying) 
32			Junkers Ju 87 Stuka(Right wing) 
33			500kg bomb(for Ju 87)
34			Ilyushin Il-2(Parking) 
35			Ilyushin Il-2(Rolling) 
36			Ilyushin Il-2(Flying) 
37			Ilyushin Il-2(Right wing) 
38			Fairey Firefly(Parking) 
39			Fairey Firefly(Rolling) 
40			Fairey Firefly(Flying) 
41			Dewoitine D.520(Parking)
42			Dewoitine D.520(Rolling)
43			Dewoitine D.520(Flying)
44			Nakajima B6N Tenzan(Parking)
45			Nakajima B6N Tenzan(Rolling)
46			Nakajima B6N Tenzan(Flying)
47			Nakajima B6N Tenzan(Right wing)
48			Type91 Torpedo
49			Fairey Swordfish(Parking)
50			Fairey Swordfish(Rolling)
51			Fairey Swordfish(Right wing)
52			1670lb torpedo
53			Messerschmitt Bf 109(Parking)
54			Messerschmitt Bf 109(Rolling)
55			Messerschmitt Bf 109(Flying)
56			Republic P-47 Thunderbolt(Parking)
57			Republic P-47 Thunderbolt(Rolling)
58			Republic P-47 Thunderbolt(Flying)
59			Lavochkin La-5(Parking)
60			Lavochkin La-5(Rolling)
61			Lavochkin La-5(Flying)
62			North American F-86(Parking)
63			North American F-86(Flying)
64			Vought F4U Corsair(Right wing)
65			Vought F4U Corsair(Left wing)
66			HVAR
67			Nakajima Ki-43(Parking)
68			Nakajima Ki-43(Rolling)
69			Nakajima Ki-43(Flying)
70			Nakajima Ki-43 kotobuki(Parking)
71			Nakajima Ki-43 kotobuki(Rolling)
72			Nakajima Ki-43 kotobuki(Flying)
73			Aichi D3A(Parking)
74			Aichi D3A(Flying)
75			Aichi D3A(Right wing)
76			type97 No.6 bomb
77			No.25 bomb
78			Mitsubishi Ki-21(parking)
79			Mitsubishi Ki-21()
80			Mitsubishi Ki-21(flying)
81			Mitsubishi Ki-21(right wing)
82			Mitsubishi Ki-21(left wing)
83			Mitsubishi Ki-21(tail)
84			type94-50kg-bomb
85			Mitsubishi A5M(parking)
86			Mitsubishi A5M(flying)
87			Mitsubishi A6M2(parking)
88			Mitsubishi A6M2(rolling)
89			Mitsubishi A6M2(flying)

